Master Category,Date,Description,Amount
Groceries,3/6/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,41.92
Auto/Transportation,3/8/2004,Shell Oil 61106221718 Anaheim Ca,27.88
Other Spending,3/10/2004,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1.00
Other Spending,3/10/2004,Monthly Service Fee,3.75
Food/Drink,3/11/2004,Rubio'S Riverside #66 Riverside Ca,6.67
,3/11/2004,Interlink Transaction 03/11 00Mf68 7 Eleven Store 1 Anah Ca 3319 407119065780,20.31
Food/Drink,3/12/2004,Get A Way Cafe Riverside Ca,6.25
Shopping,3/12/2004,Music Mikes Riverside Ca,8.08
Food/Drink,3/12/2004,Get A Way Cafe Riverside Ca,11.51
,3/13/2004,1250 Universitycarl'S Jr Riverside Ca 3319,6.52
,3/13/2004,Sumner Cafe Riverside Ca,19.08
,3/14/2004,Jitb #5304 00053041 Riverside Ca,6.01
Food/Drink,3/14/2004,Get A Way Cafe Riverside Ca,17.94
Auto/Transportation,3/15/2004,Shell Oil 61106221718 Anaheim Ca,10.91
Bills/Utilities,3/17/2004,Bill Pay The Gas Company On-Line 09092365197 On 03-17,6.12
Health,3/17/2004,5225 Canyon Crerite Aid #Riverside Ca 3319,11.87
Bills/Utilities,3/17/2004,Bill Pay Riverside Utilit On-Line 278678132713 On 03-17,44.39
Credit Card/Loan Payments,3/17/2004,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 03-17,100.00
,3/18/2004,Videotown Riverside Ca,2.70
Food/Drink,3/18/2004,Get A Way Cafe Riverside Ca,7.25
Food/Drink,3/18/2004,Papa John 2356 Riverside Ca,9.69
Auto/Transportation,3/18/2004,Union 76 00379982 Riverside Ca,28.90
Other Spending,3/19/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Auto/Transportation,3/19/2004,Blaine Union 76Blaine Uniriverside Ca 3319,12.69
Cash/ATM,3/19/2004,ATM Withdrawal - 03/19 Tcs00155 2900 Townsgate Smartbanks Westlake Vilca 3319,21.50
Entertainment,3/20/2004,Club Soda Atascadero Ca,6.00
Auto/Transportation,3/22/2004,Exxonmobil75 04561189 Atascade Ca,10.01
,3/22/2004,905 El Camino Rthe Home Datascadero Ca 3319,89.88
Auto/Transportation,3/24/2004,Chevron #00210730 Camarillo Ca,21.65
Groceries,3/25/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,50.04
,3/27/2004,Kinko'S #1703 Riverside Ca,1.70
,3/28/2004,Riverside Brewing Co Riverside Ca,12.78
Entertainment,3/28/2004,Tremors Riverside Ca,13.50
Cash/ATM,3/28/2004,ATM Withdrawal - 03/28 Scad6808 *U C Riverside B Of A Riverside Ca 3319,21.50
Other Spending,3/29/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,3/30/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,3/30/2004,ATM Withdrawal - 03/30 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Other Spending,3/30/2004,Overdraft Fee,22.00
Other Spending,3/30/2004,Overdraft Fee,22.00
Checks Written,3/30/2004,Check #310,25.00
Other Spending,4/1/2004,Bill Pay Service Fee On 04-01,6.95
Auto/Transportation,4/1/2004,Union 76 00234450 Riverside Ca,25.19
Health,4/3/2004,Rite Aid Store 5717 Riverside Ca,10.17
Cash/ATM,4/3/2004,ATM Withdrawal - 04/03 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Other Spending,4/5/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,4/5/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Shopping,4/5/2004,Ucriverside Riverside Ca,16.00
Cash/ATM,4/5/2004,ATM Withdrawal - 04/05 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Cash/ATM,4/5/2004,ATM Withdrawal - 04/05 Co9405 1209 Universityservice Plriverside Ca 3319,61.50
Other Spending,4/6/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Groceries,4/6/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,11.75
Food/Drink,4/7/2004,Rubio'S Riverside #66 Riverside Ca,5.89
Cash/ATM,4/7/2004,ATM Withdrawal - 04/07 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Other Spending,4/7/2004,La Times Sub*155794110 800-528-4637 Ca,27.50
Mortgage / Rent,4/7/2004,Rent Check #311,925.00
Other Spending,4/8/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Entertainment,4/8/2004,Tremors Riverside Ca,10.00
Other Spending,4/9/2004,Overdraft Fee,33.00
Other Spending,4/12/2004,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1.00
Other Spending,4/12/2004,Monthly Service Fee,3.75
Other Spending,4/12/2004,Continuous Od Level 2 Charge,5.00
Other Spending,4/12/2004,Overdraft Fee,33.00
Other Spending,4/13/2004,Continuous Od Level 2 Charge,5.00
Other Spending,4/13/2004,Overdraft Fee,33.00
Other Spending,4/14/2004,Continuous Od Level 2 Charge,5.00
Other Spending,4/15/2004,Continuous Od Level 2 Charge,5.00
Food/Drink,4/16/2004,Rising Savor Riverside Ca,3.79
Cash/ATM,4/17/2004,ATM Withdrawal - 04/17 0887K Riverside Riverside Ca 3319,20.00
Food/Drink,4/17/2004,Cabin Sushi Restaurant 909-786-7702 Ca,25.38
Cash/ATM,4/18/2004,ATM Withdrawal - 04/18 0887K Riverside Riverside Ca 3319,20.00
Cash/ATM,4/22/2004,ATM Withdrawal - 04/22 0887K Riverside Riverside Ca 3319,20.00
Auto/Transportation,4/22/2004,Chevron #00207698 Orange Ca,25.83
,4/23/2004,Jitb #3581 00035816 Riverside Ca,3.44
Food/Drink,4/23/2004,Get A Way Cafe Riverside Ca,7.25
Food/Drink,4/23/2004,Get A Way Cafe Riverside Ca,11.51
Credit Card/Loan Payments,4/23/2004,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 04-23,100.00
Cash/ATM,4/24/2004,ATM Withdrawal - 04/24 0887K Riverside Riverside Ca 3319,20.00
Cash/ATM,4/25/2004,ATM Withdrawal - 04/25 0887K Riverside Riverside Ca 3319,20.00
Food/Drink,4/25/2004,Pizza N Such Clairemont Ca,33.50
Food/Drink,4/27/2004,Rubio'S Riverside #66 Riverside Ca,5.70
Groceries,4/27/2004,Stater Bros #114 Swv Riverside Ca,39.06
Bills/Utilities,4/27/2004,Bill Pay Charter Communic On-Line 04512201249060 On 04-27,50.00
Bills/Utilities,4/27/2004,Bill Pay Riverside Utilit On-Line 278678132713 On 04-27,50.00
Auto/Transportation,4/29/2004,Shell Oil 20465520656 Riverside Ca,30.08
Health,4/30/2004,Rite Aid Store 5681 Palm Desert Ca,3.29
Shopping,4/30/2004,UCR Bookstore Riverside Ca,3.54
Food/Drink,4/30/2004,Papa John 2356 Riverside Ca,9.69
Groceries,5/1/2004,74895 Highway 1Ralphs Indian Wellsca 3319,42.78
Groceries,5/2/2004,49908 Jeffersonralphs Indio Ca 3319,46.71
Other Spending,5/3/2004,Bill Pay Service Fee On 05-01,6.95
Auto/Transportation,5/4/2004,Exxonmobil34 07865660 Riversid Ca,28.38
Bills/Utilities,5/4/2004,Charter Comm Chartercom 050304,50.00
Bills/Utilities,5/4/2004,Charter Comm Chartercom 050304,126.45
Cash/ATM,5/7/2004,ATM Withdrawal - 05/07 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Mortgage / Rent,5/7/2004,Rent Check #313,925.00
Other Spending,5/8/2004,Video Town & Wireless Riverside Ca,5.39
Health,5/8/2004,3849 Chicago Avrite Aid #Riverside Ca 3319,11.65
Shopping,5/8/2004,Music Mikes Riverside Ca,15.41
Other Spending,5/10/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,5/10/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,5/10/2004,ATM Withdrawal - 05/10 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Auto/Transportation,5/10/2004,Union 76 00408930 Riverside Ca,29.87
Food/Drink,5/11/2004,Rubio'S Riverside #66 Riverside Ca,4.62
Other Spending,5/12/2004,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,5/12/2004,Monthly Service Fee,3.75
Cash/ATM,5/13/2004,ATM Withdrawal - 05/13 0887K Riverside Riverside Ca 3319,80.00
Health,5/15/2004,3849 Chicago Avrite Aid #Riverside Ca 3319,10.20
Food/Drink,5/15/2004,Cask N Cleaver Riverside Ca,12.00
Food/Drink,5/16/2004,Papa John 2356 Riverside Ca,16.00
Auto/Transportation,5/16/2004,Union 76 00379982 Riverside Ca,19.56
Other Spending,5/17/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,5/17/2004,ATM Withdrawal - 05/17 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Auto/Transportation,5/20/2004,Chevron #00096984 Riverside Ca,29.80
Entertainment,5/23/2004,Tremors Riverside Ca,12.75
Groceries,5/24/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,15.81
Food/Drink,5/25/2004,Get A Way Cafe Riverside Ca,8.58
Bills/Utilities,5/25/2004,Bill Pay Wellspring Wirel On-Line 30037360 On 05-25,49.23
Credit Card/Loan Payments,5/25/2004,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 05-25,60.00
Bills/Utilities,5/25/2004,Bill Pay Riverside Utilit On-Line 278678132713 On 05-25,70.00
Auto/Transportation,5/27/2004,Exxonmobil34 01141662 Orange Ca,29.73
Other Spending,5/28/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,5/28/2004,Get A Way Cafe Riverside Ca,14.50
Shopping,5/28/2004,Pacific Sunwear #0077 Riverside Ca,59.24
Cash/ATM,5/28/2004,ATM Withdrawal - 05/28 S1E08530 406 Commons Washingtonriverside Ca 3319,80.00
Entertainment,5/29/2004,Tremors Riverside Ca,4.25
Food/Drink,5/29/2004,Rubio'S Riverside #66 Riverside Ca,7.19
Groceries,5/29/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,8.15
Auto/Transportation,5/29/2004,Raceway Ford Inc Riverside Ca,25.43
Groceries,5/30/2004,Trade Winds Liqtrade Windnew Port Beacca 3319,5.00
Entertainment,5/30/2004,University Village Cin Los Angelas Ca,5.25
,5/31/2004,Jitb #3581 00035816 Riverside Ca,4.50
Food/Drink,5/31/2004,Krispy Kreme Dghnts #9 Riverside Ca,6.33
Groceries,5/31/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,20.00
Other Spending,6/1/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Other Spending,6/1/2004,Bill Pay Service Fee On 06-01,6.95
Shopping,6/1/2004,UCR Bookstore Riverside Ca,16.64
Cash/ATM,6/1/2004,ATM Withdrawal - 06/01 80740094 2001 Riverside Won'S Liqulos Angeles Ca 3319,21.50
Cash/ATM,6/1/2004,ATM Withdrawal - 06/01 Scad6808 *U C Riverside B Of A Riverside Ca 3319,21.50
Auto/Transportation,6/1/2004,Chevron 00095868 La Mirada Ca,30.06
Other Spending,6/2/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,6/5/2004,Rubio'S Riverside #66 Riverside Ca,6.13
Food/Drink,6/6/2004,Pizza Hut 07053234 Riverside Ca,14.00
Auto/Transportation,6/6/2004,Union 76 00379982 Riverside Ca,31.41
Personal Care,6/8/2004,Supercuts Ca778 Riverside Ca,13.00
Cash/ATM,6/8/2004,ATM Withdrawal - 06/08 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Health,6/8/2004,Ucr-Campus Health Riverside Ca,37.50
Mortgage / Rent,6/8/2004,Rent Check #314,925.00
Other Spending,6/9/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,6/9/2004,Quizno'S #195 Universi Riverside Ca,8.38
Health,6/9/2004,Rite Aid #5717 0063062735Riverside Ca 3319,10.37
Other Spending,6/10/2004,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1.00
Food/Drink,6/10/2004,Coffee Depot 909-2222263 Ca,3.51
Other Spending,6/10/2004,Monthly Service Fee,3.75
Shopping,6/10/2004,Ucr-Print & Reprograph Riverside Ca,5.66
Shopping,6/10/2004,UCR Bookstore Riverside Ca,46.24
Other Spending,6/11/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,6/11/2004,Rubio'S Riverside #66 Riverside Ca,5.70
Food/Drink,6/11/2004,Get A Way Cafe Riverside Ca,14.83
Cash/ATM,6/11/2004,ATM Withdrawal - 06/11 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Cash/ATM,6/11/2004,ATM Withdrawal - 06/11 Scad8216 *Canyon Crest-0B Of A Riverside Ca 3319,21.50
Groceries,6/13/2004,Stater Bros. #14301347500Riverside Ca 3319,28.92
Other Spending,6/14/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Food/Drink,6/15/2004,Pizza Hut 07050511 909-7648817 Ca,14.65
Shopping,6/15/2004,Mad Platter Riverside Ca,27.99
Bills/Utilities,6/16/2004,Bill Pay The Gas Company On-Line 09092365197 On 06-16,15.00
Auto/Transportation,6/16/2004,Shell Oil 20465520656 Riverside Ca,30.01
Credit Card/Loan Payments,6/16/2004,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 06-16,50.00
Other Spending,6/17/2004,Sou Usps 0567762390349092Riverside Ca 3319,3.95
Food/Drink,6/17/2004,Starbucks 00059915 Riverside Ca,6.20
Health,6/17/2004,Rite Aid #5716 0063062735Riverside Ca 3319,23.76
Shopping,6/17/2004,Office Max 00006130 Riverside Ca,37.70
,6/18/2004,Johns Place Of Orange Orange Ca,5.65
Food/Drink,6/19/2004,Chen'S Panda Orange Ca,20.00
Cash/ATM,6/19/2004,ATM Withdrawal - 06/19 4806K 8440 E Chapman Ave Orange Ca 3319,60.00
Food/Drink,6/22/2004,Pizza Hut 07050511 909-7648817 Ca,15.34
Other Spending,6/22/2004,Overdraft Fee,33.00
Food/Drink,6/23/2004,Starbucks 00059915 Riverside Ca,4.50
Shopping,6/23/2004,Staples #144 Riverside Ca,53.81
,6/24/2004,Joxer Daly'S Culver City Ca,22.00
Food/Drink,6/28/2004,Pizza Hut 2 Chantilly Va,4.69
,6/28/2004,Hmshost-Iad-Airpt #000 Washington Dc,35.78
Food/Drink,6/29/2004,Rubio'S Riverside #66 Riverside Ca,6.13
Auto/Transportation,6/29/2004,Chevron 00210249 Los Angeles Ca,27.26
Groceries,6/30/2004,Stater Bros. #14301347500Riverside Ca 3319,3.76
Health,6/30/2004,Rite Aid #5717 0063062735Riverside Ca 3319,12.92
Groceries,6/30/2004,Stater Bros. #14301347500Riverside Ca 3319,27.77
Other Spending,7/1/2004,Bill Pay Service Fee On 07-01,6.95
Food/Drink,7/1/2004,Get A Way Cafe Riverside Ca,9.75
Food/Drink,7/2/2004,Rising Savor Riverside Ca,4.40
Entertainment,7/2/2004,Tremors Riverside Ca,18.00
Food/Drink,7/3/2004,Subway #24399 Riverside Ca,6.39
Auto/Transportation,7/3/2004,Union 76 76899020 Los Angeles Ca,23.96
Food/Drink,7/4/2004,Quiznos #3381 San Diego Ca,6.45
Food/Drink,7/4/2004,Bigberthas/Typhoon/Fre San Diego Ca,9.68
Groceries,7/4/2004,Vons Store 0029000023San Diego Ca 3319,38.52
Auto/Transportation,7/5/2004,Union 76 76887462 San Diego Ca,25.85
Shopping,7/6/2004,Mad Platter 4301322135Riverside Ca 3319,12.92
Personal Care,7/6/2004,Supercuts Ca778 Riverside Ca,15.00
Health,7/7/2004,Rite Aid #5715 0063062735Riverside Ca 3319,13.23
Food/Drink,7/7/2004,Historic Mission Inn Riverside Ca,16.82
Food/Drink,7/7/2004,Riverside Brewing Co Riverside Ca,31.83
Bills/Utilities,7/8/2004,Bill Pay Wellspring Wirel On-Line 30037360 On 07-08,16.49
Bills/Utilities,7/8/2004,Bill Pay The Gas Company On-Line 09092365197 On 07-08,16.62
Auto/Transportation,7/8/2004,Exxonmobil59 02358075 Diamond Ca,18.83
Checks Written,7/8/2004,Check #315 Other Withdrawals,475.00
Other Spending,7/9/2004,Nsf Return Check Fee,30.00
Health,7/10/2004,Rite Aid #5827 0063062737Atascadero Ca 3319,16.08
Other Spending,7/13/2004,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,7/13/2004,Monthly Service Fee,3.75
Shopping,7/13/2004,Radio Shack 7430013028Atascadero Ca 3319,7.50
Shopping,7/13/2004,Kmart 1260007619Atascadero Ca 3319,14.56
Bills/Utilities,7/13/2004,Bill Pay Riverside Utilit On-Line 278678132713 On 07-13,68.66
Bills/Utilities,7/13/2004,Bill Pay Charter Communic On-Line 04512201249060 On 07-13,80.00
Auto/Transportation,7/14/2004,Union 76 46044897 Atasacadero Ca,29.06
Shopping,7/16/2004,Kmart 1260007619Atascadero Ca 3319,2.40
Food/Drink,7/16/2004,Slo Brewing Co Inc San Luis Obis Ca,12.00
Groceries,7/16/2004,Vons Store 0029000023Atascadero Ca 3319,13.37
Shopping,7/17/2004,Limelight Music-Gifts Atascadero Ca,15.98
Shopping,7/20/2004,Central Coast Music Morro Bay Ca,53.63
Auto/Transportation,7/21/2004,Chevron 00090150 San Luis Obis Ca,24.23
Cash/ATM,7/21/2004,Withdrawal Made In A Branch/Store,550.00
Food/Drink,7/22/2004,The Boogie 4131992002Anaheim Ca 3319,20.00
Auto/Transportation,7/23/2004,Shell Oil 20417941224 Corona Ca,27.19
Food/Drink,7/24/2004,Get A Way Cafe Riverside Ca,8.40
Auto/Transportation,7/25/2004,Exxonmobil34 07865660 Riversid Ca,6.67
,7/25/2004,U-Haul 8930081682Riverside Ca 3319,43.12
Auto/Transportation,7/26/2004,Arco Paypoint 054081 San Diego Ca 3319,10.55
