Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount,
"Auto/Transportation","Gasoline","08/01/2012"," ","76 10028231             SAN CARLOS","CHECK CRD PURCHASE 07/31 76 10028231             SAN CARLOS    CA 434256XXXXXX3671 162213722867865                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$46.08",
"Auto/Transportation","Gasoline","07/26/2012"," ","76 10093623             SAN FRANCISCO CA ","CHECK CRD PURCHASE 07/25 76 10093623             SAN FRANCISCO CA 434256XXXXXX3671 002208000320916                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$48.93",
"Auto/Transportation","Gasoline","07/24/2012"," ","SHELL OIL","CHECK CRD PURCHASE 07/22 SHELL OIL 57441083      ATASCADERO    CA 434256XXXXXX3671 462205034630635                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$44.36",
"Auto/Transportation","Gasoline","07/23/2012"," ","7-ELEVEN","POS PURCHASE -      7-ELEVEN                 ATASCADERO   CA 3671 00382205036349654                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$7.39",
"Auto/Transportation","Gasoline","07/20/2012"," ","CHEVRON GILROY","POS PURCHASE -      CHEVRON/GILROY           GILROY       CA 3671 00382202823390222                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$7.06",
"Auto/Transportation","Gasoline","07/18/2012"," ","CHONG & MYONG","CHECK CRD PURCHASE 07/17 CHONG & MYONG INC       OAKLAND       CA 434256XXXXXX3671 282199645890618                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$45.01",
"Auto/Transportation","Gasoline","07/16/2012"," ","DEBIT CRD PUR INTL 07 14 VILLANUEVA GOMEZ S","DEBIT CRD PUR INTL 07/14 VILLANUEVA GOMEZ S      MALAGA        ES 434256XXXXXX3671 852197150804915                               ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$31.63",
"Auto/Transportation","Gasoline","06/27/2012"," ","CHEVRON","CHECK CRD PURCHASE 06/26 CHEVRON 00091623        SAN FRANCISCO CA 434256XXXXXX3671 582179044427237                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$53.12",
"Auto/Transportation","Gasoline","06/26/2012"," ","SHELL OIL","CHECK CRD PURCHASE 06/24 SHELL OIL 57441083      ATASCADERO    CA 434256XXXXXX3671 302177022266870                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$45.86",
"Auto/Transportation","Gasoline","06/21/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SALINAS      CA 3671 00462173154263277                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$46.60",
"Auto/Transportation","Gasoline","06/18/2012"," ","CHEVRON","CHECK CRD PURCHASE 06/17 CHEVRON 00090150        SAN LUIS OBIS CA 434256XXXXXX3671 302169664908011                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$48.35",
"Auto/Transportation","Gasoline","06/18/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          PALO ALTO    CA 3671 00302170804227580                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$48.30",
"Auto/Transportation","Gasoline","06/15/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SALINAS      CA 3671 00462167168329045                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$45.51",
"Auto/Transportation","Gasoline","06/13/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00582165542542263                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$48.36",
"Auto/Transportation","Gasoline","06/08/2012"," ","SHELL OIL","CHECK CRD PURCHASE 06/06 SHELL OIL 57444678205   SAN FRANCISCO CA 434256XXXXXX3671 160240004549509                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$55.39",
"Auto/Transportation","Gasoline","06/01/2012"," ","CHONG & MYONG","CHECK CRD PURCHASE 05/31 CHONG & MYONG INC       OAKLAND       CA 434256XXXXXX3671 153240006989378                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$46.90",
"Auto/Transportation","Gasoline","05/30/2012"," ","SHELL OIL","CHECK CRD PURCHASE 05/28 SHELL OIL 57445290307   KING CITY     CA 434256XXXXXX3671 151240004237444                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$50.03",
"Auto/Transportation","Gasoline","05/29/2012"," ","CHEVRON","CHECK CRD PURCHASE 05/25 CHEVRON 00095764        SAN JOSE      CA 434256XXXXXX3671 148240021353220                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$50.05",
"Auto/Transportation","Gasoline","05/14/2012"," ","SHELL OIL","CHECK CRD PURCHASE 05/10 SHELL OIL 57444677801   SAN FRANCISCO CA 434256XXXXXX3671 134240014774655                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$53.62",
"Auto/Transportation","Gasoline","04/26/2012"," ","CHEVRON CSI-","POS PURCHASE -      CHEVRON/CSI-090          SAN FRANCISCOCA 3671 00462117620660699                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$45.00",
"Auto/Transportation","Gasoline","04/17/2012"," ","76                      OAKLAND     ","CHECK CRD PURCHASE 04/16 76                      OAKLAND       CA 434256XXXXXX3671 108240006648028                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$19.99",
"Auto/Transportation","Gasoline","04/10/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00582101086460060                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$50.86",
"Auto/Transportation","Gasoline","04/02/2012"," ","SHELL OIL","CHECK CRD PURCHASE 03/29 SHELL OIL 57444677801   SAN FRANCISCO CA 434256XXXXXX3671 091240004502867                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$52.09",
"Auto/Transportation","Gasoline","03/06/2012"," ","VALLEJO GAS & SHOP","CHECK CRD PURCHASE 03/04 VALLEJO GAS & SHOP      VALLEJO       CA 434256XXXXXX3671 066240008957642                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$48.06",
"Auto/Transportation","Gasoline","03/02/2012"," ","CHEVRON R & R P","POS PURCHASE -      CHEVRON/R & R P          FAIRFIELD    CA 3671 00382062163366323                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$36.72",
"Auto/Transportation","Gasoline","02/29/2012"," ","38TH GAS & MART","CHECK CRD PURCHASE 02/27 38TH GAS & MART         OAKLAND       CA 434256XXXXXX3671 060240005677458                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$47.76",
"Auto/Transportation","Gasoline","02/23/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00582054766870610                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$49.64",
"Auto/Transportation","Gasoline","02/09/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00462040568612745                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$44.37",
"Auto/Transportation","Gasoline","01/23/2012"," ","76                      SAN FRANCISCO CA","CHECK CRD PURCHASE 01/21 76                      SAN FRANCISCO CA 434256XXXXXX3671 022240009580874                               ?MCC=5542 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$45.80",
"Auto/Transportation","Gasoline","01/09/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00582007749331684                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$42.61",
"Auto/Transportation","Maintenance/Repair","03/21/2013"," ","QUALITY TUNE UP","CHECK CRD PURCHASE 03/20 QUALITY TUNE UP 14      SAN FRANCISCO CA 434256XXXXXX4992 283080011406710                               ?MCC=7538","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$43.20",
"Auto/Transportation","Maintenance/Repair","03/18/2013"," ","QUALITY TUNE UP","CHECK CRD PURCHASE 03/16 QUALITY TUNE UP 14      SAN FRANCISCO CA 434256XXXXXX4992 083075831208494                               ?MCC=7538","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$182.82",
"Auto/Transportation","Maintenance/Repair","03/11/2013"," ","QUALITY TUNE UP","CHECK CRD PURCHASE 03/09 QUALITY TUNE UP 14      SAN FRANCISCO CA 434256XXXXXX4992 083068854873269                               ?MCC=7538","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$182.82",
"Auto/Transportation","Maintenance/Repair","10/09/2012"," ","QUALITY TUNE UP","CHECK CRD PURCHASE 10/06 QUALITY TUNE UP 14      SAN FRANCISCO CA 434256XXXXXX3671 162280613326751                               ?MCC=7538","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$53.11",
"Auto/Transportation","Maintenance/Repair","06/25/2012"," ","WASH N SHINE","CHECK CRD PURCHASE 06/22 WASH N SHINE            ATASCADERO    CA 434256XXXXXX3671 282174847555447                               ?MCC=7542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$7.00",
"Auto/Transportation","Maintenance/Repair","02/06/2012"," ","QUALITY TUNE UP","CHECK CRD PURCHASE 02/04 QUALITY TUNE UP 14      SAN FRANCISCO CA 434256XXXXXX3671 036240011243045                               ?MCC=7538 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$44.43",
"Auto/Transportation","Parking/Tolls","04/02/2013"," ","PAYBYPHONE SANFRAN","CHECK CRD PURCHASE 04/01 PAYBYPHONE SANFRAN      NEW YORK      NY 434256XXXXXX4992 083091859958342                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$1.45",
"Auto/Transportation","Parking/Tolls","03/28/2013"," ","PAYBYPHONE SANFRAN","CHECK CRD PURCHASE 03/27 PAYBYPHONE SANFRAN      NEW YORK      NY 434256XXXXXX4992 283087022760332                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$1.25",
"Auto/Transportation","Parking/Tolls","01/15/2013"," ","PAYBYPHONE SANFRAN","CHECK CRD PURCHASE 01/13 PAYBYPHONE SANFRAN      SAN FRANCISCO CA 434256XXXXXX3671 003013836752810                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$5.95",
"Auto/Transportation","Parking/Tolls","01/15/2013"," ","PAYBYPHONE SANFRAN","CHECK CRD PURCHASE 01/13 PAYBYPHONE SANFRAN      SAN FRANCISCO CA 434256XXXXXX3671 003013712457999                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$0.72",
"Auto/Transportation","Parking/Tolls","01/07/2013"," ","PAYBYPHONE SANFRAN","CHECK CRD PURCHASE 01/05 PAYBYPHONE SANFRAN      SAN FRANCISCO CA 434256XXXXXX3671 083005697747014                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.12",
"Auto/Transportation","Parking/Tolls","01/07/2013"," ","PAYBYPHONE SANFRAN","CHECK CRD PURCHASE 01/05 PAYBYPHONE SANFRAN      SAN FRANCISCO CA 434256XXXXXX3671 283005685404536                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.12",
"Auto/Transportation","Parking/Tolls","12/10/2012"," ","5STR PRK OAKL CXT","CHECK CRD PURCHASE 12/06 5STR PRK OAKL CXT3      OAKLAND       CA 434256XXXXXX3671 082341847392566                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$36.00",
"Auto/Transportation","Parking/Tolls","11/28/2012"," ","PAYBYPHONE-SANFRAN","CHECK CRD PURCHASE 11/26 PAYBYPHONE-SANFRAN      866-490-7275  KS 434256XXXXXX3671 002332054797595                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.82",
"Auto/Transportation","Parking/Tolls","11/14/2012"," ","PAYBYPHONE-SANFRAN","CHECK CRD PURCHASE 11/12 PAYBYPHONE-SANFRAN      866-490-7275  KS 434256XXXXXX3671 082318016577950                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.45",
"Auto/Transportation","Parking/Tolls","08/20/2012"," ","PAYBYPHONE-SANFRAN","CHECK CRD PURCHASE 08/16 PAYBYPHONE-SANFRAN      866-490-7275  KS 434256XXXXXX3671 162229607092111                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.12",
"Auto/Transportation","Parking/Tolls","08/20/2012"," ","PAYBYPHONE-SANFRAN","CHECK CRD PURCHASE 08/16 PAYBYPHONE-SANFRAN      866-490-7275  KS 434256XXXXXX3671 002229572908400                               ?MCC=7523","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$2.28",
"Auto/Transportation","Parking/Tolls","06/11/2012"," ","S F M T A PARKING","CHECK CRD PURCHASE 06/08 S F M T A PARKING       SAN FRANCISCO CA 434256XXXXXX3671 162240019415712                               ?MCC=7523 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$0.50",
"Auto/Transportation","Parking/Tolls","05/15/2012"," ","ACE PARKING PS","CHECK CRD PURCHASE 05/14 ACE PARKING PS #4149    SAN FRANCISCO CA 434256XXXXXX3671 136240004941420                               ?MCC=7523 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$4.00",
"Auto/Transportation","Parking/Tolls","05/08/2012"," ","PRIORITY PRKG","CHECK CRD PURCHASE 05/08 PRIORITY PRKG 35 KEARN  SAN FRANCISCO CA 434256XXXXXX3671 129240008470415                               ?MCC=7523 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$32.00",
"Auto/Transportation","Parking/Tolls","04/09/2012"," ","S F M T A PARKING","CHECK CRD PURCHASE 04/07 S F M T A PARKING       SAN FRANCISCO CA 434256XXXXXX3671 099240011989555                               ?MCC=7523 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$4.00",
"Auto/Transportation","Parking/Tolls","01/17/2012"," ","CITY OF WALNUT CREEK N","CHECK CRD PURCHASE 01/14 CITY OF WALNUT CREEK N  WALNUT CREEK  CA 434256XXXXXX3671 017240006778409                               ?MCC=7523 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.50",
"Auto/Transportation","Public Transportation","06/26/2013"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 8245 00000000440109095                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$20.00",
"Auto/Transportation","Public Transportation","05/24/2013"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 8245 00000000552135384                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$20.00",
"Auto/Transportation","Public Transportation","02/04/2013"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 4992 00000000731554275                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$20.00",
"Auto/Transportation","Public Transportation","01/03/2013"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000000249415647                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","12/19/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000000459117721                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","12/05/2012"," ","BART-CLIPPER CI","POS PURCHASE -      BART CLIPPER CI          SAN FRANCISCOCA 3671 00000000755656561                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","11/15/2012"," ","BART-CLIPPER","POS PURCHASE -      BART CLIPPER CO          OAKLAND      CA 3671 00000000143396552                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","10/29/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000102935384224                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","10/12/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000101298253233                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$12.00",
"Auto/Transportation","Public Transportation","09/13/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000091342099994                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","08/06/2012"," ","174092012999             SAN FRANCISCO","POS PURCHASE -      174092012999             SAN FRANCISCOCA 3671 00000080663296440                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$23.00",
"Auto/Transportation","Public Transportation","07/30/2012"," ","174092012999             SAN FRANCISCO","POS PURCHASE -      174092012999             SAN FRANCISCOCA 3671 00000073035083091                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","07/16/2012"," ","BART-CLIPPER SF","POS PURCHASE -      BART CLIPPER SF          SAN FRANCISCOCA 3671 00000219862091400                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","07/05/2012"," ","DEBIT CRD PUR INTL 07 03 METRO DE MADRID","DEBIT CRD PUR INTL 07/03 METRO DE MADRID         MADRID        ES 434256XXXXXX3671 852186128030062                               ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$22.73",
"Auto/Transportation","Public Transportation","07/05/2012"," ","DEBIT CRD PUR INTL 07 03 METRO DE MADRID","DEBIT CRD PUR INTL 07/03 METRO DE MADRID         MADRID        ES 434256XXXXXX3671 852186128030052                               ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$18.94",
"Auto/Transportation","Public Transportation","04/24/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000211588378837                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Public Transportation","04/12/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART CLIPPER MO          SAN FRANCISCOCA 3671 00000210347461104                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$32.00",
"Auto/Transportation","Public Transportation","03/22/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART-CLIPPER MO          SAN FRANCISCOCA 3671 00382082017395338                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$33.00",
"Auto/Transportation","Public Transportation","02/17/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART-CLIPPER MO          SAN FRANCISCOCA 3671 00582049034552475                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$40.00",
"Auto/Transportation","Public Transportation","01/19/2012"," ","BART-CLIPPER MO","POS PURCHASE -      BART-CLIPPER MO          SAN FRANCISCOCA 3671 00582019073740924                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$40.00",
"Auto/Transportation","Public Transportation","01/03/2012"," ","MTA VENDING MAC","POS PURCHASE -      MTA VENDING MAC          718-330-1234 NY 3671 00461365628689416                          ?MCC=4111","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$20.00",
"Auto/Transportation","Other Auto/Transportation","02/11/2013"," ","UBER TECHNOLOGIES","RECUR DEBIT CRD PMT02/09 UBER TECHNOLOGIES       866-576-1039  CA 434256XXXXXX4992 283040219408480                               ?MCC=4789","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$8.00",
"Bills/Utilities","Gas/Electric","06/01/2013","SACRAMENTO","PACIFIC GAS & ELECTRIC (PG&E)","Gas/Electric-PACIFIC GAS & ELECTRIC (PG&E)","PMA Checking XXXXXX5366","$32.22",
"Bills/Utilities","Gas/Electric","05/02/2013","SACRAMENTO","PACIFIC GAS & ELECTRIC (PG&E)","Gas/Electric-PACIFIC GAS & ELECTRIC (PG&E)","PMA Checking XXXXXX5366","$32.09",
"Bills/Utilities","Gas/Electric","04/03/2013","SACRAMENTO","PACIFIC GAS & ELECTRIC (PG&E)","Gas/Electric-PACIFIC GAS & ELECTRIC (PG&E)","PMA Checking XXXXXX5366","$40.31",
"Bills/Utilities","Gas/Electric","02/20/2013","SACRAMENTO","PACIFIC GAS & ELECTRIC (PG&E)","Gas/Electric-PACIFIC GAS & ELECTRIC (PG&E)","PMA Checking XXXXXX5366","$45.61",
